TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612738,202340,Avery Bradley,5.53932584269663,12.842696629213483,1.6179775280898876,4.52808988764045,0.9662921348314607,1.2359550561797752,0.5617977528089888,2.4157303370786516,2.9775280898876404,1.6292134831460674,1.0224719101123596,0.1797752808988764,1.3595505617977528,2.247191011235955,13.662921348314606,-0.6966292134831461,493.0,1143.0,144.0,403.0,86.0,110.0,50.0,215.0,265.0,145.0,91.0,16.0,121.0,200.0,1216.0,-62.0,89,1836.426966292135,163442.0
1610612753,203473,Dewayne Dedmon,1.5384615384615385,2.8461538461538463,0.0,0.015384615384615385,0.676923076923077,1.2461538461538462,2.046153846153846,3.2,5.246153846153846,0.15384615384615385,0.27692307692307694,0.9076923076923077,0.8307692307692308,2.4153846153846152,3.753846153846154,-0.4,100.0,185.0,0.0,1.0,44.0,81.0,133.0,208.0,341.0,10.0,18.0,59.0,54.0,157.0,244.0,-26.0,65,888.8461538461538,57775.0
1610612762,203918,Rodney Hood,3.0535714285714284,7.375,1.25,3.392857142857143,1.1607142857142858,1.5714285714285714,0.16071428571428573,2.4464285714285716,2.607142857142857,1.6071428571428572,0.5714285714285714,0.21428571428571427,0.8571428571428571,2.5357142857142856,8.517857142857142,0.6785714285714286,171.0,413.0,70.0,190.0,65.0,88.0,9.0,137.0,146.0,90.0,32.0,12.0,48.0,142.0,477.0,38.0,56,1297.75,72674.0
1610612748,203894,Shabazz Napier,1.8644067796610169,4.9491525423728815,0.8305084745762712,2.4745762711864407,1.2542372881355932,1.5254237288135593,0.3389830508474576,1.9322033898305084,2.2711864406779663,2.5762711864406778,0.8305084745762712,0.06779661016949153,1.5593220338983051,1.5593220338983051,5.813559322033898,-0.3559322033898305,110.0,292.0,49.0,146.0,74.0,90.0,20.0,114.0,134.0,152.0,49.0,4.0,92.0,92.0,343.0,-21.0,59,1198.2711864406779,70698.0
1610612763,201563,Michael Beasley,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",""
