PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
2730,Dwight Howard,7.061538461538461,11.984615384615385,0.015384615384615385,0.09230769230769231,4.723076923076923,8.738461538461538,3.046153846153846,8.415384615384616,11.461538461538462,1.676923076923077,0.7846153846153846,1.9076923076923078,3.169230769230769,3.476923076923077,18.861538461538462,5.8,459.0,779.0,1.0,6.0,307.0,568.0,198.0,547.0,745.0,109.0,51.0,124.0,206.0,226.0,1226.0,377.0,65,2011.3538461538462,130738.0
203085,Austin Rivers,3.0,7.465909090909091,0.5113636363636364,1.5909090909090908,1.8181818181818181,2.7045454545454546,0.3409090909090909,1.9204545454545454,2.2613636363636362,2.8636363636363638,0.6931818181818182,0.1590909090909091,1.1818181818181819,2.090909090909091,8.329545454545455,-0.18181818181818182,264.0,657.0,45.0,140.0,160.0,238.0,30.0,169.0,199.0,252.0,61.0,14.0,104.0,184.0,733.0,-16.0,88,1373.0568181818182,120829.0
203499,Shane Larkin,1.5857142857142856,3.7714285714285714,0.38571428571428573,1.042857142857143,0.5285714285714286,0.6571428571428571,0.32857142857142857,1.2285714285714286,1.5571428571428572,1.7714285714285714,0.7857142857142857,0.05714285714285714,0.7285714285714285,1.5714285714285714,4.085714285714285,-1.6285714285714286,111.0,264.0,27.0,73.0,37.0,46.0,23.0,86.0,109.0,124.0,55.0,4.0,51.0,110.0,286.0,-114.0,70,974.1428571428571,68190.0
203561,Brandon Davies,1.7966101694915255,4.186440677966102,0.22033898305084745,0.8135593220338984,0.9322033898305084,1.423728813559322,1.1694915254237288,1.7457627118644068,2.9152542372881354,0.9491525423728814,0.5084745762711864,0.1864406779661017,1.0508474576271187,2.2542372881355934,4.745762711864407,-3.389830508474576,106.0,247.0,13.0,48.0,55.0,84.0,69.0,103.0,172.0,56.0,30.0,11.0,62.0,133.0,280.0,-200.0,59,868.0677966101695,51216.0
202087,Alonzo Gee,1.7183098591549295,3.7746478873239435,0.2112676056338028,0.5492957746478874,0.971830985915493,1.4788732394366197,0.7464788732394366,1.3380281690140845,2.084507042253521,0.7323943661971831,0.5915492957746479,0.2676056338028169,0.7605633802816901,1.352112676056338,4.619718309859155,-2.1549295774647885,122.0,268.0,15.0,39.0,69.0,105.0,53.0,95.0,148.0,52.0,42.0,19.0,54.0,96.0,328.0,-153.0,71,808.0281690140845,57370.0
203487,Michael Carter-Williams,5.891891891891892,14.932432432432432,0.6486486486486487,2.7027027027027026,3.445945945945946,5.0675675675675675,1.2837837837837838,5.202702702702703,6.486486486486487,6.3108108108108105,1.3918918918918919,0.527027027027027,3.891891891891892,3.0135135135135136,15.878378378378379,-7.72972972972973,436.0,1105.0,48.0,200.0,255.0,375.0,95.0,385.0,480.0,467.0,103.0,39.0,288.0,223.0,1175.0,-572.0,74,2051.135135135135,151784.0
203110,Draymond Green,3.276595744680851,7.5638297872340425,0.9361702127659575,2.851063829787234,1.6702127659574468,2.2872340425531914,1.2659574468085106,5.053191489361702,6.319148936170213,2.617021276595745,1.425531914893617,1.0638297872340425,1.5851063829787233,3.2127659574468086,9.159574468085106,4.48936170212766,308.0,711.0,88.0,268.0,157.0,215.0,119.0,475.0,594.0,246.0,134.0,100.0,149.0,302.0,861.0,422.0,94,1613.340425531915,151654.0
202331,Paul George,6.826086956521739,16.797101449275363,2.246376811594203,6.246376811594203,5.130434782608695,6.072463768115942,0.8840579710144928,6.507246376811594,7.391304347826087,3.63768115942029,1.9130434782608696,0.30434782608695654,2.8405797101449277,2.652173913043478,21.028985507246375,1.1014492753623188,471.0,1159.0,155.0,431.0,354.0,419.0,61.0,449.0,510.0,251.0,132.0,21.0,196.0,183.0,1451.0,76.0,69,2247.5942028985505,155084.0
203162,Ben Hansbrough,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",""
2203,Shane Battier,1.2372881355932204,3.1864406779661016,0.8813559322033898,2.389830508474576,0.2033898305084746,0.3220338983050847,0.423728813559322,1.1864406779661016,1.6101694915254237,0.8813559322033898,0.6610169491525424,0.3559322033898305,0.3559322033898305,1.5254237288135593,3.559322033898305,1.5593220338983051,73.0,188.0,52.0,141.0,12.0,19.0,25.0,70.0,95.0,52.0,39.0,21.0,21.0,90.0,210.0,92.0,59,1088.8474576271187,64242.0
