TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612759,2014-10-03,San Antonio,82,62,20,0.7559999999999999,32-9,30-11,""
1610612760,2014-10-03,Oklahoma City,82,59,23,0.72,34-7,25-16,""
1610612746,2014-10-03,L.A. Clippers,82,57,25,0.695,34-7,23-18,""
1610612745,2014-10-03,Houston,82,54,28,0.659,33-8,21-20,""
1610612757,2014-10-03,Portland,82,54,28,0.659,31-10,23-18,""
1610612744,2014-10-03,Golden State,82,51,31,0.622,27-14,24-17,""
1610612763,2014-10-03,Memphis,82,50,32,0.61,27-14,23-18,""
1610612742,2014-10-03,Dallas,82,49,33,0.598,26-15,23-18,""
1610612756,2014-10-03,Phoenix,82,48,34,0.585,26-15,22-19,""
1610612750,2014-10-03,Minnesota,82,40,42,0.488,24-17,16-25,""
1610612743,2014-10-03,Denver,82,36,46,0.439,22-19,14-27,""
1610612740,2014-10-03,New Orleans,82,34,48,0.415,22-19,12-29,""
1610612758,2014-10-03,Sacramento,82,28,54,0.341,17-24,11-30,""
1610612747,2014-10-03,L.A. Lakers,82,27,55,0.329,14-27,13-28,""
1610612762,2014-10-03,Utah,82,25,57,0.305,16-25,9-32,""
