TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612749,2019-09-29,Milwaukee,82,60,22,0.732,33-8,27-14,""
1610612761,2019-09-29,Toronto,82,58,24,0.7070000000000001,32-9,26-15,""
1610612755,2019-09-29,Philadelphia,82,51,31,0.622,31-10,20-21,""
1610612738,2019-09-29,Boston,82,49,33,0.598,28-13,21-20,""
1610612754,2019-09-29,Indiana,82,48,34,0.585,29-12,19-22,""
1610612751,2019-09-29,Brooklyn,82,42,40,0.512,23-18,19-22,""
1610612753,2019-09-29,Orlando,82,42,40,0.512,25-16,17-24,""
1610612765,2019-09-29,Detroit,82,41,41,0.5,26-15,15-26,""
1610612766,2019-09-29,Charlotte,82,39,43,0.476,25-16,14-27,""
1610612748,2019-09-29,Miami,82,39,43,0.476,19-22,20-21,""
1610612764,2019-09-29,Washington,82,32,50,0.39,22-19,10-31,""
1610612737,2019-09-29,Atlanta,82,29,53,0.354,17-24,12-29,""
1610612741,2019-09-29,Chicago,82,22,60,0.268,9-32,13-28,""
1610612739,2019-09-29,Cleveland,82,19,63,0.232,13-28,6-35,""
1610612752,2019-09-29,New York,82,17,65,0.207,9-32,8-33,""
