TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612751,1629066,Rodions Kurucs,3.08,6.24,0.6,2.2,1.76,1.96,1.04,2.92,3.96,0.64,0.68,0.36,1.2,2.08,8.52,1.56,77.0,156.0,15.0,55.0,44.0,49.0,26.0,73.0,99.0,16.0,17.0,9.0,30.0,52.0,213.0,39.0,25,1082.68,27067.0
1610612739,203903,Jordan Clarkson,4.9186046511627906,11.30232558139535,1.4069767441860466,4.069767441860465,1.430232558139535,1.7209302325581395,0.7093023255813954,1.930232558139535,2.63953488372093,1.744186046511628,0.6046511627906976,0.12790697674418605,1.244186046511628,1.4767441860465116,12.674418604651162,-2.546511627906977,423.0,972.0,121.0,350.0,123.0,148.0,61.0,166.0,227.0,150.0,52.0,11.0,107.0,127.0,1090.0,-219.0,86,1345.9186046511627,115749.0
1610612748,1628999,Yante Maten,2.1666666666666665,4.833333333333333,1.0,2.5,2.0,2.6666666666666665,1.5,1.6666666666666667,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,1.1666666666666667,7.333333333333333,0.8333333333333334,13.0,29.0,6.0,15.0,12.0,16.0,9.0,10.0,19.0,2.0,1.0,3.0,4.0,7.0,44.0,5.0,6,714.0,4284.0
1610612757,1627780,Gary Payton II,2.0,3.6666666666666665,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,4.0,0.6666666666666666,6.0,11.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,2.0,1.0,12.0,2.0,3,487.0,1461.0
1610612755,1627789,Timothe Luwawu-Cabarrot,1.7,4.5,1.15,2.8,0.8,0.85,0.05,0.8,0.85,1.1,0.1,0.15,0.5,1.4,5.35,2.55,34.0,90.0,23.0,56.0,16.0,17.0,1.0,16.0,17.0,22.0,2.0,3.0,10.0,28.0,107.0,51.0,20,851.65,17033.0
1610612759,1627856,Matt Costello,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,4.0,2.0,8.0,3,432.6666666666667,1298.0
1610612752,1626195,Willy Hernangomez,1.0909090909090908,1.5454545454545454,0.0,0.09090909090909091,0.6363636363636364,1.0909090909090908,0.2727272727272727,1.1818181818181819,1.4545454545454546,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.6363636363636364,2.8181818181818183,0.18181818181818182,12.0,17.0,0.0,1.0,7.0,12.0,3.0,13.0,16.0,8.0,3.0,1.0,6.0,7.0,31.0,2.0,11,402.45454545454544,4427.0
