TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612739,1628417,Jaron Blossomgame,1.7857142857142858,4.214285714285714,0.6428571428571429,1.9285714285714286,0.42857142857142855,0.5,1.1428571428571428,3.0,4.142857142857143,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.5,0.6428571428571429,4.642857142857143,-2.642857142857143,25.0,59.0,9.0,27.0,6.0,7.0,16.0,42.0,58.0,8.0,6.0,4.0,7.0,9.0,65.0,-37.0,14,1153.642857142857,16151.0
1610612747,2544,LeBron James,9.421052631578947,18.05263157894737,1.894736842105263,5.184210526315789,5.131578947368421,7.421052631578948,0.8421052631578947,7.105263157894737,7.947368421052632,6.7894736842105265,1.236842105263158,0.6578947368421053,3.289473684210526,1.5263157894736843,25.86842105263158,2.9210526315789473,358.0,686.0,72.0,197.0,195.0,282.0,32.0,270.0,302.0,258.0,47.0,25.0,125.0,58.0,983.0,111.0,38,1960.2368421052631,74489.0
1610612747,203903,Jordan Clarkson,5.722222222222222,13.11111111111111,1.3333333333333333,4.611111111111111,2.4444444444444446,2.9444444444444446,0.7222222222222222,2.5,3.2222222222222223,3.5,0.8333333333333334,0.1111111111111111,2.0,1.1111111111111112,15.222222222222221,0.7777777777777778,103.0,236.0,24.0,83.0,44.0,53.0,13.0,45.0,58.0,63.0,15.0,2.0,36.0,20.0,274.0,14.0,18,1475.0,26550.0
