TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612744,2017-09-29,Golden State,82,67,15,0.8170000000000001,36-5,31-10,""
1610612759,2017-09-29,San Antonio,82,61,21,0.7440000000000001,31-10,30-11,""
1610612745,2017-09-29,Houston,82,55,27,0.6709999999999999,30-11,25-16,""
1610612746,2017-09-29,LA Clippers,82,51,31,0.622,29-12,22-19,""
1610612762,2017-09-29,Utah,82,51,31,0.622,29-12,22-19,""
1610612760,2017-09-29,Oklahoma City,82,47,35,0.573,28-13,19-22,""
1610612763,2017-09-29,Memphis,82,43,39,0.524,24-17,19-22,""
1610612757,2017-09-29,Portland,82,41,41,0.5,25-16,16-25,""
1610612743,2017-09-29,Denver,82,40,42,0.488,22-19,18-23,""
1610612740,2017-09-29,New Orleans,82,34,48,0.415,21-20,13-28,""
1610612742,2017-09-29,Dallas,82,33,49,0.402,21-20,12-29,""
1610612758,2017-09-29,Sacramento,82,32,50,0.39,17-24,15-26,""
1610612750,2017-09-29,Minnesota,82,31,51,0.378,20-21,11-30,""
1610612747,2017-09-29,L.A. Lakers,82,26,56,0.317,17-24,9-32,""
1610612756,2017-09-29,Phoenix,82,24,58,0.293,15-26,9-32,""
