TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612737,1627098,Malcolm Delaney,2.0126582278481013,5.379746835443038,0.35443037974683544,1.481012658227848,1.0759493670886076,1.3164556962025316,0.17721518987341772,1.5569620253164558,1.7341772151898733,2.632911392405063,0.5189873417721519,0.012658227848101266,1.2658227848101267,1.518987341772152,5.455696202531645,0.43037974683544306,159.0,425.0,28.0,117.0,85.0,104.0,14.0,123.0,137.0,208.0,41.0,1.0,100.0,120.0,431.0,34.0,79,1025.6962025316457,81030.0
1610612755,203954,Joel Embiid,5.947368421052632,12.81578947368421,0.9736842105263158,2.763157894736842,5.7368421052631575,7.2894736842105265,1.9210526315789473,5.578947368421052,7.5,1.736842105263158,0.7368421052631579,2.1578947368421053,3.5526315789473686,3.473684210526316,18.605263157894736,1.2105263157894737,226.0,487.0,37.0,105.0,218.0,277.0,73.0,212.0,285.0,66.0,28.0,82.0,135.0,132.0,707.0,46.0,38,1403.8684210526317,53347.0
1610612743,203950,Jarnell Stokes,1.9,3.4,0.0,0.0,1.0,1.5,1.8,1.9,3.7,0.4,0.4,0.3,0.3,2.1,4.8,-1.2,19.0,34.0,0.0,0.0,10.0,15.0,18.0,19.0,37.0,4.0,4.0,3.0,3.0,21.0,48.0,-12.0,10,674.3,6743.0
