TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612738,2017-09-29,Boston,82,53,29,0.6459999999999999,30-11,23-18,""
1610612739,2017-09-29,Cleveland,82,51,31,0.622,31-10,20-21,""
1610612761,2017-09-29,Toronto,82,51,31,0.622,28-13,23-18,""
1610612764,2017-09-29,Washington,82,49,33,0.598,30-11,19-22,""
1610612737,2017-09-29,Atlanta,82,43,39,0.524,23-18,20-21,""
1610612754,2017-09-29,Indiana,82,42,40,0.512,29-12,13-28,""
1610612749,2017-09-29,Milwaukee,82,42,40,0.512,23-18,19-22,""
1610612741,2017-09-29,Chicago,82,41,41,0.5,25-16,16-25,""
1610612748,2017-09-29,Miami,82,41,41,0.5,23-18,18-23,""
1610612765,2017-09-29,Detroit,82,37,45,0.451,24-17,13-28,""
1610612766,2017-09-29,Charlotte,82,36,46,0.439,22-19,14-27,""
1610612752,2017-09-29,New York,82,31,51,0.378,19-22,12-29,""
1610612753,2017-09-29,Orlando,82,29,53,0.354,16-25,13-28,""
1610612755,2017-09-29,Philadelphia,82,28,54,0.341,17-24,11-30,""
1610612751,2017-09-29,Brooklyn,82,20,62,0.244,13-28,7-34,""
