TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612741,1627853,Ryan Arcidiacono,2.2209302325581395,4.941860465116279,0.9651162790697675,2.5813953488372094,1.0348837209302326,1.186046511627907,0.313953488372093,2.255813953488372,2.5697674418604652,3.1744186046511627,0.7906976744186046,0.046511627906976744,0.7441860465116279,2.058139534883721,6.441860465116279,-2.8488372093023258,191.0,425.0,83.0,222.0,89.0,102.0,27.0,194.0,221.0,273.0,68.0,4.0,64.0,177.0,554.0,-245.0,86,1391.8023255813953,119695.0
1610612738,202954,Brad Wanamaker,1.35,3.1,0.4,1.075,0.625,0.75,0.075,1.25,1.325,1.5,0.375,0.05,0.625,1.0,3.725,1.4,54.0,124.0,16.0,43.0,25.0,30.0,3.0,50.0,53.0,60.0,15.0,2.0,25.0,40.0,149.0,56.0,40,589.375,23575.0
1610612747,1629050,Jeffrey Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,1,326.0,326.0
