TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612766,201587,Nicolas Batum,4.903614457831325,11.855421686746988,1.7710843373493976,5.265060240963855,2.3132530120481927,2.783132530120482,0.6144578313253012,5.63855421686747,6.253012048192771,5.650602409638554,0.9518072289156626,0.5301204819277109,2.5542168674698793,1.5542168674698795,13.891566265060241,2.144578313253012,407.0,984.0,147.0,437.0,192.0,231.0,51.0,468.0,519.0,469.0,79.0,44.0,212.0,129.0,1153.0,178.0,83,2047.9036144578313,169976.0
1610612754,201152,Thaddeus Young,5.1,9.475,0.95,2.225,0.775,1.325,1.55,4.85,6.4,1.575,1.325,0.425,1.625,1.675,11.925,0.625,204.0,379.0,38.0,89.0,31.0,53.0,62.0,194.0,256.0,63.0,53.0,17.0,65.0,67.0,477.0,25.0,40,1832.025,73281.0
1610612749,203996,Damien Inglis,0.8461538461538461,2.230769230769231,0.15384615384615385,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.07692307692307693,1.6923076923076923,1.7692307692307692,0.6153846153846154,0.3076923076923077,0.23076923076923078,0.5384615384615384,0.46153846153846156,2.1538461538461537,-0.6923076923076923,11.0,29.0,2.0,8.0,4.0,4.0,1.0,22.0,23.0,8.0,4.0,3.0,7.0,6.0,28.0,-9.0,13,540.2307692307693,7023.0
1610612752,203648,Thanasis Antetokounmpo,1.5,2.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0,-3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,-6.0,2,187.5,375.0
