TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612745,2018-09-27,Houston,82,65,17,0.7929999999999999,34-7,31-10,""
1610612744,2018-09-27,Golden State,82,58,24,0.7070000000000001,29-12,29-12,""
1610612757,2018-09-27,Portland,82,49,33,0.598,28-13,21-20,""
1610612740,2018-09-27,New Orleans,82,48,34,0.585,24-17,24-17,""
1610612760,2018-09-27,Oklahoma City,82,48,34,0.585,27-14,21-20,""
1610612762,2018-09-27,Utah,82,48,34,0.585,28-13,20-21,""
1610612750,2018-09-27,Minnesota,82,47,35,0.573,30-11,17-24,""
1610612759,2018-09-27,San Antonio,82,47,35,0.573,33-8,14-27,""
1610612743,2018-09-27,Denver,82,46,36,0.561,31-10,15-26,""
1610612746,2018-09-27,LA Clippers,82,42,40,0.512,22-19,20-21,""
1610612747,2018-09-27,L.A. Lakers,82,35,47,0.4270000000000001,20-21,15-26,""
1610612758,2018-09-27,Sacramento,82,27,55,0.329,14-27,13-28,""
1610612742,2018-09-27,Dallas,82,24,58,0.293,15-26,9-32,""
1610612763,2018-09-27,Memphis,82,22,60,0.268,16-25,6-35,""
1610612756,2018-09-27,Phoenix,82,21,61,0.256,10-31,11-30,""
