TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612748,2013-10-04,Miami,82,66,16,0.805,37-4,29-12,""
1610612752,2013-10-04,New York,82,54,28,0.659,31-10,23-18,""
1610612754,2013-10-04,Indiana,81,49,32,0.605,30-11,19-21,""
1610612751,2013-10-04,Brooklyn,82,49,33,0.598,26-15,23-18,""
1610612741,2013-10-04,Chicago,82,45,37,0.5489999999999999,24-17,21-20,""
1610612737,2013-10-04,Atlanta,82,44,38,0.537,25-16,19-22,""
1610612738,2013-10-04,Boston,81,41,40,0.506,27-13,14-27,""
1610612749,2013-10-04,Milwaukee,82,38,44,0.463,21-20,17-24,""
1610612755,2013-10-04,Philadelphia,82,34,48,0.415,23-18,11-30,""
1610612761,2013-10-04,Toronto,82,34,48,0.415,21-20,13-28,""
1610612765,2013-10-04,Detroit,82,29,53,0.354,18-23,11-30,""
1610612764,2013-10-04,Washington,82,29,53,0.354,22-19,7-34,""
1610612739,2013-10-04,Cleveland,82,24,58,0.293,14-27,10-31,""
1610612766,2013-10-04,Charlotte,82,21,61,0.256,15-26,6-35,""
1610612753,2013-10-04,Orlando,82,20,62,0.244,12-29,8-33,""
