TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612754,2014-10-03,Indiana,82,56,26,0.6829999999999999,35-6,21-20,""
1610612748,2014-10-03,Miami,82,54,28,0.659,32-9,22-19,""
1610612741,2014-10-03,Chicago,82,48,34,0.585,27-14,21-20,""
1610612761,2014-10-03,Toronto,82,48,34,0.585,26-15,22-19,""
1610612751,2014-10-03,Brooklyn,82,44,38,0.537,28-13,16-25,""
1610612764,2014-10-03,Washington,82,44,38,0.537,22-19,22-19,""
1610612766,2014-10-03,Charlotte,82,43,39,0.524,25-16,18-23,""
1610612737,2014-10-03,Atlanta,82,38,44,0.463,24-17,14-27,""
1610612752,2014-10-03,New York,82,37,45,0.451,19-22,18-23,""
1610612739,2014-10-03,Cleveland,82,33,49,0.402,19-22,14-27,""
1610612765,2014-10-03,Detroit,82,29,53,0.354,17-24,12-29,""
1610612738,2014-10-03,Boston,82,25,57,0.305,16-25,9-32,""
1610612753,2014-10-03,Orlando,82,23,59,0.28,19-22,4-37,""
1610612755,2014-10-03,Philadelphia,82,19,63,0.232,10-31,9-32,""
1610612749,2014-10-03,Milwaukee,82,15,67,0.183,10-31,5-36,""
