PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
203210,JaMychal Green,2.3658536585365852,5.378048780487805,1.3414634146341464,3.4878048780487805,0.524390243902439,0.7195121951219512,1.146341463414634,4.573170731707317,5.719512195121951,0.8048780487804879,0.4024390243902439,0.36585365853658536,0.7682926829268293,2.6463414634146343,6.597560975609756,1.048780487804878,194.0,441.0,110.0,286.0,43.0,59.0,94.0,375.0,469.0,66.0,33.0,30.0,63.0,217.0,541.0,86.0,82,1203.4512195121952,98683.0
101107,Marvin Williams,2.095890410958904,4.589041095890411,0.9726027397260274,2.6027397260273974,0.7123287671232876,0.8356164383561644,0.6438356164383562,2.7945205479452055,3.4383561643835616,1.0410958904109588,0.6164383561643836,0.4657534246575342,0.5616438356164384,1.726027397260274,5.876712328767123,-0.6712328767123288,153.0,335.0,71.0,190.0,52.0,61.0,47.0,204.0,251.0,76.0,45.0,34.0,41.0,126.0,429.0,-49.0,73,1147.3835616438357,83759.0
1628972,Troy Brown Jr.,3.9859154929577465,9.140845070422536,0.8732394366197183,2.676056338028169,1.5774647887323943,2.0,1.1126760563380282,4.47887323943662,5.591549295774648,2.619718309859155,1.2394366197183098,0.09859154929577464,1.1830985915492958,1.943661971830986,10.422535211267606,-3.4788732394366195,283.0,649.0,62.0,190.0,112.0,142.0,79.0,318.0,397.0,186.0,88.0,7.0,84.0,138.0,740.0,-247.0,71,1552.2112676056338,110207.0
1629028,Deandre Ayton,7.840909090909091,14.136363636363637,0.11363636363636363,0.3409090909090909,1.5454545454545454,2.0454545454545454,3.772727272727273,7.068181818181818,10.840909090909092,1.8181818181818181,0.6590909090909091,1.3863636363636365,2.1363636363636362,3.0454545454545454,17.34090909090909,2.090909090909091,345.0,622.0,5.0,15.0,68.0,90.0,166.0,311.0,477.0,80.0,29.0,61.0,94.0,134.0,763.0,92.0,44,1862.1363636363637,81934.0
202687,Bismack Biyombo,2.7857142857142856,5.107142857142857,0.0,0.0,1.6607142857142858,2.732142857142857,2.1964285714285716,3.392857142857143,5.589285714285714,0.9107142857142857,0.19642857142857142,0.9464285714285714,0.9107142857142857,2.2142857142857144,7.232142857142857,-2.8392857142857144,156.0,286.0,0.0,0.0,93.0,153.0,123.0,190.0,313.0,51.0,11.0,53.0,51.0,124.0,405.0,-159.0,56,1130.0357142857142,63282.0
201567,Kevin Love,5.758620689655173,12.793103448275861,2.5517241379310347,6.844827586206897,3.2413793103448274,3.793103448275862,0.9482758620689655,8.637931034482758,9.586206896551724,3.0689655172413794,0.5689655172413793,0.3275862068965517,2.4482758620689653,1.6724137931034482,17.310344827586206,-4.810344827586207,334.0,742.0,148.0,397.0,188.0,220.0,55.0,501.0,556.0,178.0,33.0,19.0,142.0,97.0,1004.0,-279.0,58,1867.4655172413793,108313.0
1628035,Alfonzo McKinnie,1.8409090909090908,4.4772727272727275,0.36363636363636365,1.7272727272727273,0.5454545454545454,0.75,0.9318181818181818,2.090909090909091,3.022727272727273,0.38636363636363635,0.5909090909090909,0.25,0.6818181818181818,2.0,4.590909090909091,-3.0454545454545454,81.0,197.0,16.0,76.0,24.0,33.0,41.0,92.0,133.0,17.0,26.0,11.0,30.0,88.0,202.0,-134.0,44,926.6363636363636,40772.0
1629668,Zach Norvell Jr.,2.0,5.636363636363637,1.3636363636363635,3.8181818181818183,1.9090909090909092,2.1818181818181817,0.36363636363636365,1.5454545454545454,1.9090909090909092,1.2727272727272727,0.7272727272727273,0.09090909090909091,1.0909090909090908,1.3636363636363635,7.2727272727272725,-3.3636363636363638,22.0,62.0,15.0,42.0,21.0,24.0,4.0,17.0,21.0,14.0,8.0,1.0,12.0,15.0,80.0,-37.0,11,971.3636363636364,10685.0
1628397,Ivan Rabb,4.0,6.5,0.0,1.0,1.5,4.0,1.5,4.5,6.0,1.0,0.5,1.0,0.5,1.0,9.5,-8.0,8.0,13.0,0.0,2.0,3.0,8.0,3.0,9.0,12.0,2.0,1.0,2.0,1.0,2.0,19.0,-16.0,2,1068.0,2136.0
1629819,Yudai Baba,1.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,-2.6666666666666665,3.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,5.0,7.0,-8.0,3,452.0,1356.0
