TEAM_ID,PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
1610612738,101138,Brandon Bass,4.839506172839506,10.135802469135802,0.0,0.0,2.419753086419753,2.876543209876543,1.5185185185185186,4.37037037037037,5.888888888888889,0.8765432098765432,0.654320987654321,0.8271604938271605,1.0123456790123457,2.345679012345679,12.098765432098766,1.5949367088607596,392.0,821.0,0.0,0.0,196.0,233.0,123.0,354.0,477.0,71.0,53.0,67.0,82.0,190.0,980.0,126.0,81,1835.1234567901236,148645.0
1610612743,202702,Kenneth Faried,4.0181818181818185,6.945454545454545,0.0,0.0,2.2181818181818183,3.3454545454545452,3.1818181818181817,4.6909090909090905,7.872727272727273,0.7636363636363637,0.7272727272727273,1.0,1.290909090909091,2.4909090909090907,10.254545454545454,-0.18867924528301888,221.0,382.0,0.0,0.0,122.0,184.0,175.0,258.0,433.0,42.0,40.0,55.0,71.0,137.0,564.0,-10.0,55,1341.6727272727273,73792.0
1610612742,202963,Jerome Randle,4.0,7.5,1.5,2.5,1.5,1.5,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.5,11.0,"",8.0,15.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,22.0,"",2,17.5,35.0
