PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
201973,Jonas Jerebko,2.1354166666666665,4.677083333333333,0.8645833333333334,2.34375,0.7291666666666666,0.90625,0.7916666666666666,2.90625,3.6979166666666665,0.9895833333333334,0.2708333333333333,0.16666666666666666,0.5625,1.8020833333333333,5.864583333333333,0.8541666666666666,205.0,449.0,83.0,225.0,70.0,87.0,76.0,279.0,355.0,95.0,26.0,16.0,54.0,173.0,563.0,82.0,96,955.1041666666666,91690.0
203463,Ben McLemore,2.3846153846153846,5.903846153846154,0.9615384615384616,2.7115384615384617,0.8846153846153846,1.0961538461538463,0.5576923076923077,1.5576923076923077,2.1153846153846154,0.7307692307692307,0.5769230769230769,0.23076923076923078,0.9230769230769231,2.1538461538461537,6.615384615384615,-5.173076923076923,124.0,307.0,50.0,141.0,46.0,57.0,29.0,81.0,110.0,38.0,30.0,12.0,48.0,112.0,344.0,-269.0,52,1020.7307692307693,53078.0
1627826,Ivica Zubac,1.9649122807017543,3.7017543859649122,0.0,0.017543859649122806,0.9649122807017544,1.263157894736842,1.1929824561403508,2.192982456140351,3.3859649122807016,0.6491228070175439,0.19298245614035087,0.5789473684210527,0.7017543859649122,1.4736842105263157,4.894736842105263,1.543859649122807,112.0,211.0,0.0,1.0,55.0,72.0,68.0,125.0,193.0,37.0,11.0,33.0,40.0,84.0,279.0,88.0,57,693.9649122807018,39556.0
1628425,Sterling Brown,1.72,4.12,0.6933333333333334,1.9466666666666668,0.44,0.49333333333333335,0.49333333333333335,2.3466666666666667,2.84,0.68,0.4533333333333333,0.2,0.5466666666666666,1.4266666666666667,4.573333333333333,-0.72,129.0,309.0,52.0,146.0,33.0,37.0,37.0,176.0,213.0,51.0,34.0,15.0,41.0,107.0,343.0,-54.0,75,905.5733333333334,67918.0
1627883,Jalen Jones,1.6363636363636365,4.181818181818182,0.5909090909090909,1.6363636363636365,0.8636363636363636,1.3636363636363635,0.9545454545454546,1.7272727272727273,2.6818181818181817,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.4090909090909091,1.5454545454545454,4.7272727272727275,-0.5909090909090909,36.0,92.0,13.0,36.0,19.0,30.0,21.0,38.0,59.0,8.0,8.0,2.0,9.0,34.0,104.0,-13.0,22,726.6818181818181,15987.0
204060,Joe Ingles,4.572916666666667,9.78125,2.4791666666666665,5.895833333333333,1.0833333333333333,1.53125,0.3020833333333333,3.71875,4.020833333333333,4.78125,1.28125,0.23958333333333334,2.1666666666666665,2.34375,12.708333333333334,6.291666666666667,439.0,939.0,238.0,566.0,104.0,147.0,29.0,357.0,386.0,459.0,123.0,23.0,208.0,225.0,1220.0,604.0,96,1906.0208333333333,182978.0
203486,Mason Plumlee,3.1578947368421053,5.065789473684211,0.013157894736842105,0.039473684210526314,1.1842105263157894,2.3289473684210527,2.026315789473684,3.473684210526316,5.5,2.0789473684210527,0.8289473684210527,1.013157894736842,1.486842105263158,2.973684210526316,7.5131578947368425,0.18421052631578946,240.0,385.0,1.0,3.0,90.0,177.0,154.0,264.0,418.0,158.0,63.0,77.0,113.0,226.0,571.0,14.0,76,1160.7236842105262,88215.0
1628421,Devin Robinson,2.0,3.4,0.0,0.2,0.6,1.0,1.2,2.0,3.2,0.6,0.8,0.2,0.2,1.4,4.6,2.6,10.0,17.0,0.0,1.0,3.0,5.0,6.0,10.0,16.0,3.0,4.0,1.0,1.0,7.0,23.0,13.0,5,615.2,3076.0
203490,Otto Porter Jr.,5.1558441558441555,10.376623376623376,1.5714285714285714,3.896103896103896,1.2857142857142858,1.5714285714285714,1.2207792207792207,4.688311688311688,5.909090909090909,2.051948051948052,1.4805194805194806,0.5194805194805194,1.0,1.7532467532467533,13.168831168831169,2.155844155844156,397.0,799.0,121.0,300.0,99.0,121.0,94.0,361.0,455.0,158.0,114.0,40.0,77.0,135.0,1014.0,166.0,77,1829.1038961038962,140841.0
1626154,RJ Hunter,1.0,3.0,0.375,2.0,0.25,0.375,0.0,0.625,0.625,0.75,0.375,0.0,0.375,0.875,2.625,-1.0,8.0,24.0,3.0,16.0,2.0,3.0,0.0,5.0,5.0,6.0,3.0,0.0,3.0,7.0,21.0,-8.0,8,435.875,3487.0
202933,Julyan Stone,0.21052631578947367,0.47368421052631576,0.21052631578947367,0.47368421052631576,0.05263157894736842,0.10526315789473684,0.05263157894736842,1.1578947368421053,1.2105263157894737,1.0,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.8421052631578947,0.6842105263157895,2.526315789473684,4.0,9.0,4.0,9.0,1.0,2.0,1.0,22.0,23.0,19.0,2.0,1.0,3.0,16.0,13.0,48.0,19,472.36842105263156,8975.0
