PLAYER_ID,PLAYER_NAME,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds)
101133,Ian Mahinmi,1.3980582524271845,3.0,0.0,0.009708737864077669,0.8932038834951457,1.5825242718446602,1.3592233009708738,2.116504854368932,3.4757281553398056,0.27184466019417475,0.44660194174757284,0.7669902912621359,0.9320388349514563,2.3689320388349513,3.6893203883495147,-1.0625,144.0,309.0,0.0,1.0,92.0,163.0,140.0,218.0,358.0,28.0,46.0,79.0,96.0,244.0,380.0,-102.0,103,830.9805825242719,85591.0
201160,Jason Smith,3.847457627118644,7.593220338983051,0.0,0.01694915254237288,1.271186440677966,1.6610169491525424,1.4745762711864407,3.2542372881355934,4.728813559322034,0.7627118644067796,0.3728813559322034,0.9322033898305084,0.9661016949152542,2.7966101694915255,8.966101694915254,0.3018867924528302,227.0,448.0,0.0,1.0,75.0,98.0,87.0,192.0,279.0,45.0,22.0,55.0,57.0,165.0,529.0,16.0,59,1201.8305084745762,70908.0
201978,Chase Budinger,3.235294117647059,8.294117647058824,1.1176470588235294,3.411764705882353,0.9411764705882353,1.2941176470588236,0.6470588235294118,2.2941176470588234,2.9411764705882355,0.9411764705882353,0.47058823529411764,0.23529411764705882,0.6470588235294118,1.1764705882352942,8.529411764705882,-0.47058823529411764,55.0,141.0,19.0,58.0,16.0,22.0,11.0,39.0,50.0,16.0,8.0,4.0,11.0,20.0,145.0,-8.0,17,1295.1764705882354,22018.0
