TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612749,2020-12-10,Milwaukee,73,56,17,0.767,30-5,26-12,1.0
1610612761,2020-12-10,Toronto,72,53,19,0.736,26-10,27-9,1.0
1610612738,2020-12-10,Boston,72,48,24,0.667,26-10,22-14,1.0
1610612754,2020-12-10,Indiana,73,45,28,0.616,25-11,20-17,1.0
1610612748,2020-12-10,Miami,73,44,29,0.603,29-7,15-22,1.0
1610612755,2020-12-10,Philadelphia,73,43,30,0.589,31-4,12-26,1.0
1610612751,2020-12-10,Brooklyn,72,35,37,0.486,20-16,15-21,1.0
1610612753,2020-12-10,Orlando,73,33,40,0.452,18-17,15-23,1.0
1610612764,2020-12-10,Washington,72,25,47,0.34700000000000003,16-20,9-27,1.0
1610612766,2020-12-10,Charlotte,65,23,42,0.354,10-21,13-21,0.0
1610612741,2020-12-10,Chicago,65,22,43,0.33799999999999997,14-20,8-23,0.0
1610612752,2020-12-10,New York,66,21,45,0.318,11-22,10-23,0.0
1610612765,2020-12-10,Detroit,66,20,46,0.303,11-22,9-24,0.0
1610612737,2020-12-10,Atlanta,67,20,47,0.299,14-20,6-27,0.0
1610612739,2020-12-10,Cleveland,65,19,46,0.292,11-25,8-21,0.0
