Date,Team,Relinquished,injury_name,status,year,month,played_season
2010-10-03,Bulls,Carlos Boozer,fractured bone in right pinky finger,out indefinitely,2010,10,2010
2010-10-06,Pistons,Jonas Jerebko,torn right Achilles tendon,out indefinitely,2010,10,2010
2010-10-06,Pistons,Terrico White,broken fifth metatarsal in right foot,out indefinitely,2010,10,2010
2010-10-08,Blazers,Jeff Ayres,torn ACL in right knee,out indefinitely,2010,10,2010
2010-10-08,Nets,Troy Murphy,strained lower back,out indefinitely,2010,10,2010
2010-10-08,Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,"",2010,10,2010
2010-10-08,Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,"",2010,10,2010
2010-10-09,Nuggets,Al Harrington,partially torn plantar fascia in left foot,out indefinitely,2010,10,2010
2010-10-12,Bucks,Darington Hobson,surgery on left hip,out for season,2010,10,2010
2010-10-12,Kings,Samuel Dalembert,strained left groin,out indefinitely,2010,10,2010
2010-10-17,Bobcats,Dominic McGuire,stress fracture in left shin,out indefinitely,2010,10,2010
2010-10-18,Warriors,Lou Amundson,surgery to repair fractured right index finger,out indefinitely,2010,10,2010
2010-10-19,Suns,Josh Childress,fractured right index finger,out indefinitely,2010,10,2010
2010-10-22,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage,out indefinitely,2010,10,2010
2010-10-25,Thunder,Nick Collison,left knee injury,out indefinitely,2010,10,2010
2010-10-25,Timberwolves,Martell Webster,surgery on back,out indefinitely,2010,10,2010
2010-10-26,Blazers,Greg Oden,left knee injury,out for season,2010,10,2010
2010-10-26,Blazers,Joel Przybilla,placed on IL  surgery on right knee to repair ruptured patella tendon,"",2010,10,2010
2010-10-26,Celtics,Avery Bradley,surgery on left ankle,"",2010,10,2010
2010-10-26,Celtics,Kendrick Perkins,surgery on right knee to repair torn ACL,"",2010,10,2010
2010-10-26,Heat,Mario Chalmers,sprained ankle,out indefinitely,2010,10,2010
2010-10-26,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage,"",2010,10,2010
2010-10-26,Lakers,Andrew Bynum,surgery on right knee to repair torn ligaments,"",2010,10,2010
2010-10-26,Lakers,Luke Walton,strained right hamstring,"",2010,10,2010
2010-10-26,Rockets,Kyle Lowry,back spasms,"",2010,10,2010
2010-10-27,Bobcats,Dominic McGuire,stress fracture in left shin,"",2010,10,2010
2010-10-27,Bobcats,Eduardo Najera,sports hernia,"",2010,10,2010
2010-10-27,Bobcats,Kwame Brown,sprained left ankle,"",2010,10,2010
2010-10-27,Bucks,Chris Douglas-Roberts,right eye injury,"",2010,10,2010
2010-10-27,Bucks,Jon Brockman,sprained left ankle,DNP,2010,10,2010
2010-10-27,Bucks,Luc Mbah a Moute,sprained right ankle,DNP,2010,10,2010
2010-10-27,Bucks,Michael Redd,surgery on left knee to repair torn ACL,"",2010,10,2010
2010-10-27,Bulls,Carlos Boozer,fractured bone in right pinky finger,"",2010,10,2010
2010-10-27,Cavaliers,Mo Williams,groin injury,"",2010,10,2010
2010-10-27,Clippers,Craig Smith,back injury,"",2010,10,2010
2010-10-27,Grizzlies,Greivis Vasquez,surgery on right ankle to remove bone spur,"",2010,10,2010
2010-10-27,Grizzlies,Marc Gasol,sprained right ankle / left ankle,"",2010,10,2010
2010-10-27,Hawks,Pape Sy,strained lower back,"",2010,10,2010
2010-10-27,Jazz,Mehmet Okur,surgery to repair torn left Achilles tendon,"",2010,10,2010
2010-10-27,Kings,Samuel Dalembert,strained left abductor,"",2010,10,2010
2010-10-27,Knicks,Anthony Randolph,sprained left ankle,"",2010,10,2010
2010-10-27,Knicks,Eddy Curry,strained right hamstring,"",2010,10,2010
2010-10-27,Knicks,Kelenna Azubuike,arthroscopic surgery on right knee,"",2010,10,2010
2010-10-27,Mavericks,Rodrigue Beaubois,fractured left foot,"",2010,10,2010
2010-10-27,Nets,Troy Murphy,strained lower back,"",2010,10,2010
2010-10-27,Nuggets,Chris Andersen,surgery on right knee to repair partially torn patella tendon,"",2010,10,2010
2010-10-27,Nuggets,Kenyon Martin,surgery on left knee,"",2010,10,2010
2010-10-27,Pistons,Chris Wilcox,sore left hamstring,"",2010,10,2010
2010-10-27,Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,out for season,2010,10,2010
2010-10-27,Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,out for season,2010,10,2010
2010-10-27,Raptors,Ed Davis,arthroscopic surgery on right kene to repair torn meniscus,"",2010,10,2010
2010-10-27,Spurs,Tiago Splitter,strained right plantaris muscle / calf injury,CBC,2010,10,2010
2010-10-27,Thunder,Nick Collison,stress reaction in lower left leg,"",2010,10,2010
2010-10-27,Timberwolves,Jonny Flynn,surgery on left hip,"",2010,10,2010
2010-10-27,Timberwolves,Martell Webster,surgery on back,"",2010,10,2010
2010-10-27,Timberwolves,Maurice Ager,bruised left quadriceps,"",2010,10,2010
2010-10-27,Warriors,Ekpe Udoh,surgery on left wrist,"",2010,10,2010
2010-10-27,Warriors,Lou Amundson,surgery to repair fractured right index finger,"",2010,10,2010
2010-10-28,Grizzlies,Zach Randolph,back injury,DTD,2010,10,2010
2010-10-28,Hawks,Maurice Evans,right knee inflammation,DTD,2010,10,2010
2010-10-28,Spurs,Matt Bonner,sprained right ankle,DTD,2010,10,2010
2010-10-28,Wizards,Gilbert Arenas,sprained right ankle,"",2010,10,2010
2010-10-28,Wizards,Josh Howard,torn ACL in left knee,"",2010,10,2010
2010-10-29,Celtics,Jermaine O'Neal,left knee injury,"",2010,10,2010
2010-10-29,Grizzlies,Zach Randolph,bruised tailbone,"",2010,10,2010
2010-10-29,Hawks,Maurice Evans,right knee inflammation,"",2010,10,2010
2010-10-29,Pistons,Will Bynum,sore right hamstring,DNP,2010,10,2010
2010-10-30,Pistons,Will Bynum,sore right hamstring,DNP,2010,10,2010
2010-10-30,Spurs,Matt Bonner,sprained right ankle,"",2010,10,2010
2010-10-31,Clippers,Randy Foye,strained left hamstring,"",2010,10,2010
2010-10-31,Warriors,Stephen Curry,sprained right ankle,"",2010,10,2010
2010-11-01,Clippers,Baron Davis,sore left knee,"",2010,11,2010
2010-11-02,Cavaliers,Antawn Jamison,sore left knee,"",2010,11,2010
2010-11-02,Celtics,Shaquille O'Neal,bruised right knee,"",2010,11,2010
2010-11-02,Pistons,Richard Hamilton,sore right foot,DNP,2010,11,2010
2010-11-02,Pistons,Will Bynum,sore right hamstring,DNP,2010,11,2010
2010-11-03,Hawks,Jamal Crawford,turf toe,DNP,2010,11,2010
2010-11-03,Jazz,Jeremy Evans,sprained right wrist,DNP,2010,11,2010
2010-11-03,Jazz,Kyrylo Fesenko,stomach illness,DNP,2010,11,2010
2010-11-03,Nuggets,Nene Hilario,strained left groin,DNP,2010,11,2010
2010-11-03,Pistons,Richard Hamilton,sore right foot,DNP,2010,11,2010
2010-11-03,Pistons,Will Bynum,sore right hamstring,DNP,2010,11,2010
2010-11-03,Spurs,George Hill,neck injury,"",2010,11,2010
2010-11-03,Timberwolves,Michael Beasley,bruised left hip,"",2010,11,2010
2010-11-03,Warriors,Brandan Wright,stomach virus,DTD,2010,11,2010
2010-11-04,Blazers,Elliot Williams,dislocated patella in right knee,"surgery, out for season",2010,11,2010
2010-11-05,Bucks,Andrew Bogut,migraine headache,DNP,2010,11,2010
2010-11-05,Hawks,Marvin Williams,bone bruise in right knee,DNP,2010,11,2010
2010-11-05,Jazz,Jeremy Evans,sprained right ankle,DNP,2010,11,2010
2010-11-05,Nuggets,Nene Hilario,strained left groin,DNP,2010,11,2010
2010-11-06,Blazers,Elliot Williams,dislocated patella in right knee,"surgery, out for season",2010,11,2010
2010-11-06,Blazers,Rudy Fernandez,back injury,DNP,2010,11,2010
2010-11-06,Magic,Jameer Nelson,sprained left ankle,"",2010,11,2010
2010-11-06,Nuggets,Nene Hilario,strained left groin,DNP,2010,11,2010
2010-11-06,Raptors,Sonny Weems,ankle injury,DTD,2010,11,2010
2010-11-06,Raptors,Sonny Weems,ankle injury,"",2010,11,2010
2010-11-06,Rockets,Kyle Lowry,sore back,"",2010,11,2010
2010-11-06,Rockets,Yao Ming,foot injury / rest,"",2010,11,2010
2010-11-07,76ers,Andre Iguodala,right Achilles tendon injury,"",2010,11,2010
2010-11-07,Hawks,Marvin Williams,bone bruise in right knee,DNP,2010,11,2010
2010-11-07,Rockets,Aaron Brooks,sprained left ankle,"",2010,11,2010
2010-11-07,Thunder,Jeff Green,sprained left ankle,"",2010,11,2010
2010-11-08,Hawks,Marvin Williams,bone bruise in right knee,DNP,2010,11,2010
2010-11-08,Magic,Mickael Pietrus,DNP,"",2010,11,2010
2010-11-09,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-09,Clippers,Eric Gordon,left shoulder injury,"",2010,11,2010
2010-11-09,Nets,Terrence Williams,lower abdominal strain,"",2010,11,2010
2010-11-09,Timberwolves,Luke Ridnour,strained hamstring,"",2010,11,2010
2010-11-10,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-10,Clippers,Baron Davis,sore left knee,"",2010,11,2010
2010-11-10,Clippers,Chris Kaman,sprained left ankle,DNP,2010,11,2010
2010-11-10,Hawks,Marvin Williams,bone bruise in right knee,DNP,2010,11,2010
2010-11-10,Knicks,Ronny Turiaf,sprained left knee,"",2010,11,2010
2010-11-10,Mavericks,Caron Butler,back spasms,"",2010,11,2010
2010-11-10,Nets,Troy Murphy,sore right foot,"",2010,11,2010
2010-11-10,Raptors,David Andersen,flu,DTD,2010,11,2010
2010-11-10,Raptors,Leandro Barbosa,strained left shoulder,"",2010,11,2010
2010-11-10,Timberwolves,Wayne Ellington,thigh injury,DTD,2010,11,2010
2010-11-10,Warriors,Dan Gadzuric,back spasms,"",2010,11,2010
2010-11-10,Clippers,Eric Gordon,sore left shoulder,DNP,2010,11,2010
2010-11-11,Celtics,Jermaine O'Neal,sore left knee,DNP,2010,11,2010
2010-11-11,Lakers,Theo Ratliff,left knee tendinitis,"",2010,11,2010
2010-11-11,Rockets,Yao Ming,sprained left ankle,DTD,2010,11,2010
2010-11-11,Spurs,James Anderson,stress fracture in right foot,out indefinitely,2010,11,2010
2010-11-11,Warriors,David Lee,infection in left elbow,"",2010,11,2010
2010-11-12,Clippers,Chris Kaman,knee injury,P,2010,11,2010
2010-11-12,Raptors,David Andersen,flu,"",2010,11,2010
2010-11-12,Raptors,Linas Kleiza,right Achilles tendinitis,"",2010,11,2010
2010-11-12,Rockets,Yao Ming,sprained left ankle,later diagnosed as stress fracture in left ankle,2010,11,2010
2010-11-12,Warriors,David Lee,surgery on left elbow to repair infection,"",2010,11,2010
2010-11-12,Clippers,Randy Foye,strained left hamstring,DNP,2010,11,2010
2010-11-13,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-13,Cavaliers,Anderson Varejao,bruised ribs,"",2010,11,2010
2010-11-13,Cavaliers,Mo Williams,strained left groin,"",2010,11,2010
2010-11-13,Celtics,Jermaine O'Neal,sore left knee,DNP,2010,11,2010
2010-11-13,Raptors,Reggie Evans,flu-like symptoms,DNP,2010,11,2010
2010-11-13,Spurs,James Anderson,stress fracture in right foot,"",2010,11,2010
2010-11-14,Lakers,Steve Blake,stomach ache,"",2010,11,2010
2010-11-14,Rockets,Chase Budinger,sprained left ankle,DNP,2010,11,2010
2010-11-14,Timberwolves,Nikola Pekovic,sprained left ankle,DNP,2010,11,2010
2010-11-14,Timberwolves,Wayne Ellington,bruised left thigh,DNP,2010,11,2010
2010-11-15,Bobcats,Gerald Henderson Jr.,sore left knee,"",2010,11,2010
2010-11-15,Clippers,Randy Foye,strained left hamstring,DNP,2010,11,2010
2010-11-15,Jazz,Raja Bell,strained left abductor,DNP,2010,11,2010
2010-11-15,Magic,J.J. Redick,back spasms,"",2010,11,2010
2010-11-15,Suns,Robin Lopez,sprained ligaments in left knee,"",2010,11,2010
2010-11-15,Thunder,Jeff Green,sprained left ankle,"",2010,11,2010
2010-11-15,Timberwolves,Nikola Pekovic,left foot injury,DNP,2010,11,2010
2010-11-15,Timberwolves,Wayne Ellington,bruised left thigh,DNP,2010,11,2010
2010-11-16,76ers,Andre Iguodala,right Achilles tendon injury,"",2010,11,2010
2010-11-16,Blazers,Brandon Roy,sore left knee,DNP,2010,11,2010
2010-11-16,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-16,Lakers,Theo Ratliff,arthroscopic surgery on left knee to remove part of torn meniscus,"",2010,11,2010
2010-11-16,Pacers,Darren Collison,sprained left ankle,"",2010,11,2010
2010-11-16,Pacers,Tyler Hansbrough,sprained left ankle,"",2010,11,2010
2010-11-16,Wizards,John Wall,sprained left foot,"",2010,11,2010
2010-11-16,Wizards,Jianlian Yi,bruised right knee,"",2010,11,2010
2010-11-17,Clippers,Randy Foye,strained left hamstring,DNP,2010,11,2010
2010-11-17,Jazz,Kyrylo Fesenko,dizziness,DNP,2010,11,2010
2010-11-17,Nets,Troy Murphy,sore right foot,"",2010,11,2010
2010-11-17,Rockets,Chase Budinger,sprained left ankle,DNP,2010,11,2010
2010-11-17,Timberwolves,Nikola Pekovic,sprained left ankle,"",2010,11,2010
2010-11-18,Blazers,Brandon Roy,sore left knee,DNP,2010,11,2010
2010-11-18,Magic,Jason Williams,foot injury,DTD,2010,11,2010
2010-11-19,Blazers,Greg Oden,mircofracture surgery on left knee,out for season,2010,11,2010
2010-11-19,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-19,Heat,Juwan Howard,broken nose,DNP,2010,11,2010
2010-11-19,Knicks,Timofey Mozgov,left calf injury,DNP,2010,11,2010
2010-11-19,Thunder,Kevin Durant,sprained left ankle,"",2010,11,2010
2010-11-19,Warriors,Brandan Wright,strained lower back,DNP,2010,11,2010
2010-11-20,Blazers,Brandon Roy,sore left knee,DNP,2010,11,2010
2010-11-20,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-20,Heat,Dwyane Wade,sprained left wrist,"",2010,11,2010
2010-11-20,Nets,Quinton Ross,calf injury,"",2010,11,2010
2010-11-20,Suns,Steve Nash,strained groin,DNP,2010,11,2010
2010-11-21,Celtics,Rajon Rondo,strained left hamstring,"",2010,11,2010
2010-11-21,Wizards,John Wall,sprained left foot,DNP,2010,11,2010
2010-11-22,Heat,Udonis Haslem,torn ligament in left foot,out for season,2010,11,2010
2010-11-22,Hornets,Marcus Thornton,DNP,"",2010,11,2010
2010-11-22,Nuggets,Chauncey Billups,broken nose and sprained right wrist,"",2010,11,2010
2010-11-22,Warriors,Brandan Wright,strained lower back,DNP,2010,11,2010
2010-11-23,Heat,Udonis Haslem,surgery on left foot to repair torn ligament,out for season,2010,11,2010
2010-11-24,Bucks,Andrew Bogut,sore back,DNP,2010,11,2010
2010-11-24,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-24,Bulls,Taj Gibson,right ankle/foot injury,DNP,2010,11,2010
2010-11-24,Celtics,Delonte West,broken right wrist,out indefinitely,2010,11,2010
2010-11-24,Magic,Vince Carter,sprained left knee,"",2010,11,2010
2010-11-24,Warriors,Brandan Wright,strained lower back,DNP,2010,11,2010
2010-11-25,Kings,Francisco Garcia,illness,"",2010,11,2010
2010-11-25,Wizards,Al Thornton,sprained left ankle,"",2010,11,2010
2010-11-26,Bucks,Andrew Bogut,sore back,DNP,2010,11,2010
2010-11-26,Bucks,Carlos Delfino,strained neck,DNP,2010,11,2010
2010-11-26,Bulls,Derrick Rose,sore neck,"",2010,11,2010
2010-11-26,Celtics,Delonte West,i broken right wrist,"",2010,11,2010
2010-11-26,Grizzlies,Acie Law,flu,"",2010,11,2010
2010-11-26,Raptors,Reggie Evans,broken right foot,out indefinitely,2010,11,2010
2010-11-26,Thunder,Nenad Krstic,back spasms,"",2010,11,2010
2010-11-26,Warriors,Brandan Wright,strained lower back,DNP,2010,11,2010
2010-11-26,Mavericks,Brendan Haywood,suspension,"",2010,11,2010
2010-11-27,Bucks,Andrew Bogut,sore back,DNP,2010,11,2010
2010-11-27,Bucks,Carlos Delfino,placed on IL witih strained neck,"",2010,11,2010
2010-11-27,Bucks,Corey Maggette,sore left ankle,DNP,2010,11,2010
2010-11-27,Bucks,Drew Gooden,plantar fasciitis in left foot,DNP,2010,11,2010
2010-11-27,Warriors,Brandan Wright,strained lower back,"",2010,11,2010
2010-11-27,Wizards,John Wall,bruised right knee  / sore left knee,P,2010,11,2010
2010-11-28,Blazers,Sean Marks,sprained right ankle,DNP,2010,11,2010
2010-11-28,Clippers,Randy Foye,strained left hamstring,DNP,2010,11,2010
2010-11-28,Knicks,Ronny Turiaf,sore left knee,"",2010,11,2010
2010-11-28,Knicks,Toney Douglas,bruised right quadriceps,DNP,2010,11,2010
2010-11-28,Lakers,Devin Ebanks,gastroenteritis,DNP,2010,11,2010
2010-11-28,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,11,2010
2010-11-28,Raptors,Reggie Evans,broken right foot,DNP,2010,11,2010
2010-11-29,Bucks,Andrew Bogut,sore back,DNP,2010,11,2010
2010-11-29,Bucks,Corey Maggette,illness,DNP,2010,11,2010
2010-11-29,Bucks,Drew Gooden,left foot injury,DNP,2010,11,2010
2010-11-29,Wizards,John Wall,bruised right knee,P,2010,11,2010
2010-11-30,Celtics,Delonte West,surgery to repair broken right wrist,"",2010,11,2010
2010-11-30,Grizzlies,Darrell Arthur,strained left groin,"",2010,11,2010
2010-12-01,Bucks,Andrew Bogut,sore back,DNP,2010,12,2010
2010-12-01,Clippers,Randy Foye,strained left hamstring,"",2010,12,2010
2010-12-01,Hawks,Joe Johnson,loose particle in right elbow,"",2010,12,2010
2010-12-01,Magic,J.J. Redick,stomach virus,"",2010,12,2010
2010-12-01,Nets,Devin Harris,sprained left knee,"",2010,12,2010
2010-12-01,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-01,Raptors,Reggie Evans,surgery to repair broken right foot,"",2010,12,2010
2010-12-01,Thunder,Kevin Durant,sprained left knee,"",2010,12,2010
2010-12-02,Hawks,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle,out indefinitely,2010,12,2010
2010-12-03,Bobcats,DeSagana Diop,placed on IL,P,2010,12,2010
2010-12-03,Hornets,David West,stomach virus,DNP,2010,12,2010
2010-12-03,Magic,Dwight Howard,stomach virus,DNP,2010,12,2010
2010-12-03,Magic,Jameer Nelson,stomach virus,DNP,2010,12,2010
2010-12-03,Magic,Mickael Pietrus,stomach flu,"",2010,12,2010
2010-12-03,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-03,Wizards,Nick Young,bruised left thigh,"",2010,12,2010
2010-12-03,Magic,J.J. Redick,stomach virus,DNP,2010,12,2010
2010-12-04,Bucks,Drew Gooden,left foot injury,"",2010,12,2010
2010-12-04,Cavaliers,J.J. Hickson,illness,"",2010,12,2010
2010-12-04,Cavaliers,Joey Graham,illness,"",2010,12,2010
2010-12-04,Magic,Dwight Howard,stomach virus,DNP,2010,12,2010
2010-12-04,Magic,J.J. Redick,stomach virus,DNP,2010,12,2010
2010-12-04,Magic,Jameer Nelson,stomach virus,DNP,2010,12,2010
2010-12-04,Magic,Ryan Anderson,sprained right foot,DNP,2010,12,2010
2010-12-04,Timberwolves,Anthony Tolliver,sprained MCL in right knee,"",2010,12,2010
2010-12-04,Timberwolves,Michael Beasley,sprained right ankle,DNP,2010,12,2010
2010-12-05,Celtics,Rajon Rondo,strained hamstring,DNP,2010,12,2010
2010-12-05,Hornets,Didier Mbenga,illness,"",2010,12,2010
2010-12-05,Nuggets,Chris Andersen,fracture in lower back,"",2010,12,2010
2010-12-05,Raptors,Peja Stojakovic,sore/swollen left knee,DNP,2010,12,2010
2010-12-05,Thunder,D.J. White,sprained right ankle,DTD,2010,12,2010
2010-12-05,Warriors,Rodney Carney,sprained left foot,DTD,2010,12,2010
2010-12-05,Wizards,Kevin Seraphin,placed on IL,P,2010,12,2010
2010-12-06,Clippers,Chris Kaman,sprained left ankle,"",2010,12,2010
2010-12-06,Magic,Jameer Nelson,stomach flu,DNP,2010,12,2010
2010-12-06,Bucks,Drew Gooden,patella tendinitis in left foot,DNP,2010,12,2010
2010-12-07,Mavericks,Tyson Chandler,stomach flu,"",2010,12,2010
2010-12-07,Warriors,Rodney Carney,sprained left ankle,"",2010,12,2010
2010-12-07,Wizards,Andray Blatche,bruised hip,"",2010,12,2010
2010-12-08,Jazz,Kyrylo Fesenko,sprained left ankle,DNP,2010,12,2010
2010-12-08,Nuggets,Carmelo Anthony,right knee inflammation,DNP,2010,12,2010
2010-12-08,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-08,Timberwolves,Darko Milicic,bruised right quadriceps,DNP,2010,12,2010
2010-12-08,Wizards,John Wall,sore left foot,DNP,2010,12,2010
2010-12-09,76ers,Jason Kapono,calf injury,"",2010,12,2010
2010-12-09,Celtics,Shaquille O'Neal,sore right calf  / sore left knee,P,2010,12,2010
2010-12-09,Nets,Derrick Favors,bruised thigh,"",2010,12,2010
2010-12-10,Bobcats,Tyrus Thomas,quadriceps injury,DTD,2010,12,2010
2010-12-10,Hawks,Zaza Pachulia,illness,DTD,2010,12,2010
2010-12-10,Jazz,Raja Bell,groin injury,DTD,2010,12,2010
2010-12-10,Raptors,Jose Calderon,sore left foot,DTD,2010,12,2010
2010-12-10,Thunder,Nenad Krstic,back injury,DTD,2010,12,2010
2010-12-10,Warriors,Stephen Curry,sprained right ankle,DTD,2010,12,2010
2010-12-11,Cavaliers,Ryan Hollins,stomach virus,DTD,2010,12,2010
2010-12-11,Hawks,Zaza Pachulia,illness,"",2010,12,2010
2010-12-11,Jazz,Kyrylo Fesenko,sprained left ankle,DNP,2010,12,2010
2010-12-11,Jazz,Raja Bell,strained right abductor,DNP,2010,12,2010
2010-12-11,Nuggets,Carmelo Anthony,right knee patella tendinitis,DNP,2010,12,2010
2010-12-11,Raptors,Jose Calderon,left foot injury,"",2010,12,2010
2010-12-11,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-11,Warriors,Stephen Curry,sprained left ankle,P,2010,12,2010
2010-12-12,Magic,Chris Duhon,strained lower back,DNP,2010,12,2010
2010-12-12,Nets,Damion James,broken right foot,"",2010,12,2010
2010-12-12,Thunder,Nenad Krstic,sprained lower back,"",2010,12,2010
2010-12-13,Jazz,Raja Bell,strained right abductor,DNP,2010,12,2010
2010-12-13,Mavericks,Alex Ajinca,placed on IL,P,2010,12,2010
2010-12-13,Nets,Damion James,surgery to insert screw to repair broken right foot,out indefinitely,2010,12,2010
2010-12-13,Pacers,Danny Granger,sprained left ankle,"",2010,12,2010
2010-12-14,Kings,Tyreke Evans,left foot injury,DTD,2010,12,2010
2010-12-14,Magic,Mickael Pietrus,sprained left knee,DNP,2010,12,2010
2010-12-14,Magic,Quentin Richardson,sore left elbow,DNP,2010,12,2010
2010-12-14,Nuggets,Chauncey Billups,sprained right wrist,DNP,2010,12,2010
2010-12-14,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-14,Wizards,Andray Blatche,sore left knee,"",2010,12,2010
2010-12-14,Wizards,John Wall,right knee tendinitis  / sore left foot,P,2010,12,2010
2010-12-15,Bobcats,Gerald Wallace,sprained left ankle,"",2010,12,2010
2010-12-15,Bucks,John Salmons,back spasms,DNP,2010,12,2010
2010-12-15,Bulls,Joakim Noah,torn ligament in right thumb,out indefinitely,2010,12,2010
2010-12-15,Bulls,Kurt Thomas,placed on IL,P,2010,12,2010
2010-12-15,Celtics,Shaquille O'Neal,sore right calf,DNP,2010,12,2010
2010-12-15,Raptors,Andrea Bargnani,sore left knee,DNP,2010,12,2010
2010-12-15,Raptors,Peja Stojakovic,swollen left knee,DNP,2010,12,2010
2010-12-15,Wizards,Jianlian Yi,sprained right knee,out indefinitely,2010,12,2010
2010-12-16,Bulls,Joakim Noah,surgery on right thumb to repair torn ligament,out indefinitely,2010,12,2010
2010-12-16,Celtics,Rajon Rondo,sprained left ankle,DNP,2010,12,2010
2010-12-16,Celtics,Shaquille O'Neal,sore right calf,DNP,2010,12,2010
2010-12-16,Hawks,Jamal Crawford,sore back,"",2010,12,2010
2010-12-16,Nets,Anthony Morrow,strained right hamstring,DNP,2010,12,2010
2010-12-16,Nuggets,Chauncey Billups,torn ligament in right wrist,DNP,2010,12,2010
2010-12-16,Rockets,Yao Ming,stress fracture in left ankle,out for season,2010,12,2010
2010-12-16,Spurs,Tiago Splitter,strained right adductor,DTD,2010,12,2010
2010-12-16,Wizards,John Wallace,right knee tendinitis,DNP,2010,12,2010
2010-12-16,Wizards,Jianlian Yi,sprained right knee,"",2010,12,2010
2010-12-17,Blazers,Brandon Roy,sore left knee,DNP,2010,12,2010
2010-12-17,Cavaliers,Joey Graham,partially torn right quadriceps,"",2010,12,2010
2010-12-17,Cavaliers,Leon Powe,finger injury,"",2010,12,2010
2010-12-17,Pistons,Austin Daye,strained hamstring,"",2010,12,2010
2010-12-17,Raptors,Peja Stojakovic,swollen left knee,"",2010,12,2010
2010-12-17,Raptors,Sonny Weems,sore lower back,DNP,2010,12,2010
2010-12-18,Blazers,Brandon Roy,sore left knee,DNP,2010,12,2010
2010-12-18,Blazers,Joel Przybilla,left ankle injury,"",2010,12,2010
2010-12-18,Blazers,Marcus Camby,sore right shoulder,DNP,2010,12,2010
2010-12-18,Blazers,Nicolas Batum,sore right shoulder,DNP,2010,12,2010
2010-12-18,Bulls,Joakim Noah,surgery on right thumb to repair torn ligament,"",2010,12,2010
2010-12-18,Clippers,Brian Cook,sprained right ankle,"",2010,12,2010
2010-12-18,Nuggets,Chauncey Billups,torn ligament in right wrist,DNP,2010,12,2010
2010-12-18,Spurs,George Hill,sprained right big toe,DNP,2010,12,2010
2010-12-18,Timberwolves,Darko Milicic,sprained ankle,"",2010,12,2010
2010-12-18,Timberwolves,Nikola Pekovic,sprained left ankle,"",2010,12,2010
2010-12-18,Warriors,Andris Biedrins,sprained left ankle,"",2010,12,2010
2010-12-18,Wizards,John Wallace,right knee tendinitis,"",2010,12,2010
2010-12-19,Celtics,Rajon Rondo,sprained left ankle,DNP,2010,12,2010
2010-12-19,Kings,Jason Thompson,lacerated right ring finger,"",2010,12,2010
2010-12-19,Nets,Quinton Ross,bruised lower back,DNP,2010,12,2010
2010-12-19,Pacers,Josh McRoberts,abdominal strain,"",2010,12,2010
2010-12-19,Pistons,Richard Hamilton,upset stomach,DNP,2010,12,2010
2010-12-19,Pistons,Rodney Stuckey,sore left big toe,DNP,2010,12,2010
2010-12-19,Raptors,Andrea Bargnani,sore right ankle,DNP,2010,12,2010
2010-12-19,Raptors,Sonny Weems,back spasms,DNP,2010,12,2010
2010-12-20,Blazers,Brandon Roy,sore left knee,DNP,2010,12,2010
2010-12-20,Blazers,Marcus Camby,strained right shoulder,DNP,2010,12,2010
2010-12-20,Bucks,Brandon Jennings,broken bone in left foot,"",2010,12,2010
2010-12-20,Bucks,Corey Maggette,concussion,"",2010,12,2010
2010-12-20,Clippers,Craig Smith,back injury,out indefinitely,2010,12,2010
2010-12-20,Hornets,Marcus Banks,placed on IL,P,2010,12,2010
2010-12-20,Jazz,Mehmet Okur,sprained right ankle,"",2010,12,2010
2010-12-20,Spurs,George Hill,sprained right big toe,DNP,2010,12,2010
2010-12-20,Warriors,Dan Gadzuric,strained left groin,DNP,2010,12,2010
2010-12-20,Bucks,Carlos Delfino,concussion,DNP,2010,12,2010
2010-12-21,Bucks,Carlos Delfino,concussion,DNP,2010,12,2010
2010-12-21,Bucks,Drew Gooden,sore left foot,DNP,2010,12,2010
2010-12-21,Bulls,Taj Gibson,concussion,"",2010,12,2010
2010-12-21,Magic,Malik Allen,sprained left ankle,DNP,2010,12,2010
