TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612747,2020-12-10,L.A. Lakers,71,52,19,0.732,25-10,27-9,""
1610612746,2020-12-10,LA Clippers,72,49,23,0.6809999999999999,27-9,22-14,""
1610612743,2020-12-10,Denver,73,46,27,0.63,26-11,20-16,""
1610612745,2020-12-10,Houston,72,44,28,0.611,24-12,20-16,""
1610612760,2020-12-10,Oklahoma City,72,44,28,0.611,23-14,21-14,""
1610612762,2020-12-10,Utah,72,44,28,0.611,23-12,21-16,""
1610612742,2020-12-10,Dallas,75,43,32,0.573,20-18,23-14,""
1610612757,2020-12-10,Portland,74,35,39,0.473,21-15,14-24,""
1610612763,2020-12-10,Memphis,73,34,39,0.466,20-17,14-22,""
1610612756,2020-12-10,Phoenix,73,34,39,0.466,17-22,17-17,""
1610612759,2020-12-10,San Antonio,71,32,39,0.451,19-15,13-24,""
1610612758,2020-12-10,Sacramento,72,31,41,0.431,16-19,15-22,""
1610612740,2020-12-10,New Orleans,72,30,42,0.41700000000000004,15-21,15-21,""
1610612750,2020-12-10,Minnesota,64,19,45,0.297,8-24,11-21,""
1610612744,2020-12-10,Golden State,65,15,50,0.231,8-26,7-24,""
