TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612744,2016-09-30,Golden State,82,73,9,0.89,39-2,34-7,""
1610612759,2016-09-30,San Antonio,82,67,15,0.8170000000000001,40-1,27-14,""
1610612760,2016-09-30,Oklahoma City,82,55,27,0.6709999999999999,32-9,23-18,""
1610612746,2016-09-30,LA Clippers,82,53,29,0.6459999999999999,29-12,24-17,""
1610612757,2016-09-30,Portland,82,44,38,0.537,28-13,16-25,""
1610612742,2016-09-30,Dallas,82,42,40,0.512,23-18,19-22,""
1610612763,2016-09-30,Memphis,82,42,40,0.512,26-15,16-25,""
1610612745,2016-09-30,Houston,82,41,41,0.5,23-18,18-23,""
1610612762,2016-09-30,Utah,82,40,42,0.488,24-17,16-25,""
1610612743,2016-09-30,Denver,82,33,49,0.402,18-23,15-26,""
1610612758,2016-09-30,Sacramento,82,33,49,0.402,18-23,15-26,""
1610612740,2016-09-30,New Orleans,82,30,52,0.366,21-20,9-32,""
1610612750,2016-09-30,Minnesota,82,29,53,0.354,14-27,15-26,""
1610612756,2016-09-30,Phoenix,82,23,59,0.28,14-27,9-32,""
1610612747,2016-09-30,L.A. Lakers,82,17,65,0.207,12-29,5-36,""
