PLAYER_NAME,season,PLAYER_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),age,player_height,player_weight,injuries,salary
Al-Farouq Aminu,2010,202329,2.044943820224719,5.213483146067416,0.5955056179775281,1.8764044943820224,1.1573033707865168,1.4943820224719102,1.0,2.348314606741573,3.348314606741573,0.7528089887640449,0.7078651685393258,0.30337078651685395,1.3370786516853932,1.6292134831460674,5.842696629213483,-2.271604938271605,182.0,464.0,53.0,167.0,103.0,133.0,89.0,209.0,298.0,67.0,63.0,27.0,119.0,145.0,520.0,-184.0,89,980.4719101123595,87262.0,20.0,205.74,97.52228000000001,0,2563320
Al-Farouq Aminu,2011,202329,2.2686567164179103,5.522388059701493,0.19402985074626866,0.7164179104477612,1.3134328358208955,1.7611940298507462,1.4477611940298507,3.208955223880597,4.656716417910448,1.0149253731343284,0.8955223880597015,0.5223880597014925,1.373134328358209,2.1044776119402986,6.044776119402985,-0.5151515151515151,152.0,370.0,13.0,48.0,88.0,118.0,97.0,215.0,312.0,68.0,60.0,35.0,92.0,141.0,405.0,-34.0,67,1323.0298507462687,88643.0,21.0,205.74,97.52228000000001,0,2755560
Al-Farouq Aminu,2012,202329,2.9397590361445785,6.325301204819277,0.07228915662650602,0.3493975903614458,1.5060240963855422,2.0481927710843375,1.7951807228915662,5.734939759036145,7.530120481927711,1.3373493975903614,1.2048192771084338,0.6987951807228916,1.6024096385542168,2.0,7.457831325301205,-1.0,244.0,525.0,6.0,29.0,125.0,170.0,149.0,476.0,625.0,111.0,100.0,58.0,133.0,166.0,619.0,-76.0,83,1495.9518072289156,124164.0,22.0,205.74,97.52228000000001,0,2947800
Al-Farouq Aminu,2013,202329,2.9886363636363638,6.204545454545454,0.1590909090909091,0.5795454545454546,1.0795454545454546,1.6022727272727273,1.5568181818181819,4.579545454545454,6.136363636363637,1.4431818181818181,1.125,0.45454545454545453,1.1590909090909092,1.8636363636363635,7.215909090909091,-3.175,263.0,546.0,14.0,51.0,95.0,141.0,137.0,403.0,540.0,127.0,99.0,40.0,102.0,164.0,635.0,-254.0,88,1397.1477272727273,122949.0,23.0,205.74,97.52228000000001,0,3700000
Al-Farouq Aminu,2014,202329,2.160919540229885,5.103448275862069,0.5517241379310345,1.8505747126436782,1.367816091954023,1.8275862068965518,1.6206896551724137,3.32183908045977,4.942528735632184,0.8275862068965517,1.0229885057471264,0.8620689655172413,0.8045977011494253,1.9655172413793103,6.241379310344827,1.264367816091954,188.0,444.0,48.0,161.0,119.0,159.0,141.0,289.0,430.0,72.0,89.0,75.0,70.0,171.0,543.0,110.0,87,1165.1149425287356,101365.0,24.0,205.74,97.52228000000001,0,981084
Al-Farouq Aminu,2015,202329,3.84375,9.15625,1.6354166666666667,4.489583333333333,1.4895833333333333,2.0208333333333335,1.3125,5.0625,6.375,1.6979166666666667,0.8541666666666666,0.6979166666666666,1.5729166666666667,2.1979166666666665,10.8125,0.5520833333333334,369.0,879.0,157.0,431.0,143.0,194.0,126.0,486.0,612.0,163.0,82.0,67.0,151.0,211.0,1038.0,53.0,96,1753.0104166666667,168289.0,25.0,205.74,97.52228000000001,1,7500000
Al-Farouq Aminu,2016,202329,3.0704225352112675,7.633802816901408,1.1971830985915493,3.535211267605634,1.5070422535211268,2.140845070422535,1.2816901408450705,5.915492957746479,7.197183098591549,1.5352112676056338,0.9014084507042254,0.6901408450704225,1.5492957746478873,1.7183098591549295,8.845070422535212,-0.29577464788732394,218.0,542.0,85.0,251.0,107.0,152.0,91.0,420.0,511.0,109.0,64.0,49.0,110.0,122.0,628.0,-21.0,71,1703.1408450704225,120923.0,26.0,205.74,99.79024,3,7680965
Al-Farouq Aminu,2017,202329,3.3846153846153846,8.35897435897436,1.8205128205128205,4.884615384615385,0.8846153846153846,1.1923076923076923,1.4743589743589745,6.051282051282051,7.5256410256410255,1.1794871794871795,1.1153846153846154,0.5641025641025641,1.1282051282051282,1.9615384615384615,9.474358974358974,2.7948717948717947,264.0,652.0,142.0,381.0,69.0,93.0,115.0,472.0,587.0,92.0,87.0,44.0,88.0,153.0,739.0,218.0,78,1770.423076923077,138093.0,27.0,205.74,99.79024,3,7319035
Brandon Ingram,2016,1627742,3.3793103448275863,8.413793103448276,0.7126436781609196,2.3563218390804597,1.7126436781609196,2.781609195402299,0.7586206896551724,3.103448275862069,3.8620689655172415,2.057471264367816,0.6436781609195402,0.5057471264367817,1.3908045977011494,1.9425287356321839,9.183908045977011,-4.195402298850575,294.0,732.0,62.0,205.0,149.0,242.0,66.0,270.0,336.0,179.0,56.0,44.0,121.0,169.0,799.0,-365.0,87,1701.528735632184,148033.0,19.0,205.74,86.18248,0,5281680
Brandon Ingram,2017,1627742,5.890625,12.703125,0.6875,1.828125,3.171875,4.65625,0.9375,4.296875,5.234375,3.75,0.765625,0.703125,2.53125,2.75,15.640625,-2.46875,377.0,813.0,44.0,117.0,203.0,298.0,60.0,275.0,335.0,240.0,49.0,45.0,162.0,176.0,1001.0,-158.0,64,1969.125,126024.0,20.0,205.74,86.18248,2,5519400
Greg Stiemsma,2011,201880,1.0789473684210527,1.9736842105263157,0.0,0.0,0.4473684210526316,0.6578947368421053,0.7894736842105263,2.1842105263157894,2.973684210526316,0.4342105263157895,0.5394736842105263,1.2894736842105263,0.4868421052631579,2.289473684210526,2.6052631578947367,-1.6486486486486487,82.0,150.0,0.0,0.0,34.0,50.0,60.0,166.0,226.0,33.0,41.0,98.0,37.0,174.0,198.0,-122.0,76,718.4605263157895,54603.0,26.0,210.82,117.93392,0,762195
Greg Stiemsma,2012,201880,1.646341463414634,3.548780487804878,0.0,0.0,0.7317073170731707,0.926829268292683,0.8048780487804879,2.548780487804878,3.3536585365853657,0.3902439024390244,0.5487804878048781,1.1585365853658536,0.7439024390243902,2.4146341463414633,4.024390243902439,-1.144736842105263,135.0,291.0,0.0,0.0,60.0,76.0,66.0,209.0,275.0,32.0,45.0,95.0,61.0,198.0,330.0,-87.0,82,885.8414634146342,72639.0,27.0,210.82,117.93392,2,2575000
Greg Stiemsma,2013,201880,1.1587301587301588,2.0793650793650795,0.0,0.015873015873015872,0.3333333333333333,0.5714285714285714,1.2063492063492063,2.7142857142857144,3.9206349206349205,0.7142857142857143,0.5873015873015873,0.9841269841269841,0.8412698412698413,3.0,2.6507936507936507,-3.090909090909091,73.0,131.0,0.0,1.0,21.0,36.0,76.0,171.0,247.0,45.0,37.0,62.0,53.0,189.0,167.0,-170.0,63,960.5396825396825,60514.0,28.0,210.82,117.93392,2,2676000
Greg Stiemsma,2014,201880,0.4782608695652174,0.6956521739130435,0.0,0.0,0.2608695652173913,0.43478260869565216,0.5652173913043478,0.6086956521739131,1.173913043478261,0.21739130434782608,0.2608695652173913,0.08695652173913043,0.6086956521739131,1.3478260869565217,1.2173913043478262,-0.21739130434782608,11.0,16.0,0.0,0.0,6.0,10.0,13.0,14.0,27.0,5.0,6.0,2.0,14.0,31.0,28.0,-5.0,23,345.95652173913044,7957.0,29.0,210.82,117.93392,1,981084
Rodney Stuckey,2010,201155,5.230769230769231,11.820512820512821,0.358974358974359,1.3205128205128205,4.705128205128205,5.410256410256411,0.9358974358974359,2.141025641025641,3.076923076923077,5.115384615384615,1.0769230769230769,0.1282051282051282,2.2948717948717947,2.58974358974359,15.525641025641026,-1.1571428571428573,408.0,922.0,28.0,103.0,367.0,422.0,73.0,167.0,240.0,399.0,84.0,10.0,179.0,202.0,1211.0,-81.0,78,1682.448717948718,131231.0,25.0,195.58,92.98635999999999,2,2767126
