TEAM_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),year,player_name,player_position,team_abbreviation,age,player_height,player_weight,draft_year,draft_round,draft_number,PLAYER_ID
1610612759,2.195876288659794,4.164948453608248,0.36082474226804123,0.9587628865979382,0.6082474226804123,0.8144329896907216,0.8556701030927835,2.443298969072165,3.2989690721649483,2.329896907216495,0.6185567010309279,0.31958762886597936,1.0618556701030928,1.8144329896907216,5.360824742268041,2.0549450549450547,213.0,404.0,35.0,93.0,59.0,79.0,83.0,237.0,320.0,226.0,60.0,31.0,103.0,176.0,520.0,187.0,97,1226.7319587628865,118993.0,2012,Boris Diaw,PF,SAS,31.0,203.2,106.59411999999999,2003,1,21,2564
1610612748,2.311926605504587,5.293577981651376,0.5596330275229358,1.2935779816513762,0.6697247706422018,1.0,0.22935779816513763,1.4495412844036697,1.6788990825688073,2.036697247706422,0.7155963302752294,0.09174311926605505,1.3669724770642202,1.926605504587156,5.853211009174312,0.6039603960396039,252.0,577.0,61.0,141.0,73.0,109.0,25.0,158.0,183.0,222.0,78.0,10.0,149.0,210.0,638.0,61.0,109,1106.9174311926606,120654.0,2012,Norris Cole,PG,MIA,24.0,187.96,79.3786,2011,1,28,202708
1610612744,2.772727272727273,5.704545454545454,0.022727272727272728,0.022727272727272728,0.6136363636363636,1.3863636363636365,2.4318181818181817,6.113636363636363,8.545454545454545,2.022727272727273,0.5909090909090909,1.6590909090909092,1.2954545454545454,2.8181818181818183,6.181818181818182,1.6818181818181819,122.0,251.0,1.0,1.0,27.0,61.0,107.0,269.0,376.0,89.0,26.0,73.0,57.0,124.0,272.0,74.0,44,1516.909090909091,66744.0,2012,Andrew Bogut,C,GSW,28.0,213.36,117.93392,2005,1,1,101106
1610612762,3.5238095238095237,7.333333333333333,0.0,0.05952380952380952,2.392857142857143,3.5476190476190474,2.3095238095238093,4.595238095238095,6.904761904761905,0.9642857142857143,0.9047619047619048,1.6904761904761905,1.6904761904761905,3.119047619047619,9.44047619047619,-0.07792207792207792,296.0,616.0,0.0,5.0,201.0,298.0,194.0,386.0,580.0,81.0,76.0,142.0,142.0,262.0,793.0,-6.0,84,1278.1904761904761,107368.0,2012,Derrick Favors,PF,UTA,21.0,208.28,112.490816,2010,1,3,202324
1610612758,5.444444444444445,11.569444444444445,0.6805555555555556,2.0277777777777777,3.138888888888889,4.0,0.8611111111111112,3.4722222222222223,4.333333333333333,3.4305555555555554,1.3611111111111112,0.4166666666666667,1.9166666666666667,2.0277777777777777,14.708333333333334,-3.3384615384615386,392.0,833.0,49.0,146.0,226.0,288.0,62.0,250.0,312.0,247.0,98.0,30.0,138.0,146.0,1059.0,-217.0,72,1682.3194444444443,121127.0,2012,Tyreke Evans,SG,SAC,23.0,198.12,99.79024,2009,1,4,201936
1610612755,4.53932584269663,9.831460674157304,0.38202247191011235,1.0674157303370786,1.4831460674157304,1.9213483146067416,2.044943820224719,4.910112359550562,6.955056179775281,2.337078651685393,0.3146067415730337,1.3820224719101124,1.595505617977528,2.8764044943820224,10.9438202247191,-1.6951219512195121,404.0,875.0,34.0,95.0,132.0,171.0,182.0,437.0,619.0,208.0,28.0,123.0,142.0,256.0,974.0,-139.0,89,1507.4044943820224,134159.0,2012,Spencer Hawes,C,PHI,25.0,215.9,111.13004,2007,1,10,201150
1610612755,1.1666666666666667,3.1666666666666665,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.9166666666666666,1.3333333333333333,0.5,0.08333333333333333,0.16666666666666666,0.3333333333333333,2.5,0.4166666666666667,14.0,38.0,0.0,0.0,2.0,4.0,3.0,8.0,11.0,16.0,6.0,1.0,2.0,4.0,30.0,5.0,12,750.3333333333334,9004.0,2012,Charles Jenkins,PG,PHI,24.0,190.5,97.52228000000001,2011,2,44,202724
1610612761,7.2727272727272725,17.12121212121212,1.3333333333333333,3.9696969696969697,3.606060606060606,4.212121212121212,1.303030303030303,5.121212121212121,6.424242424242424,2.8484848484848486,1.7272727272727273,0.6666666666666666,2.8484848484848486,2.878787878787879,19.484848484848484,1.6363636363636365,240.0,565.0,44.0,131.0,119.0,139.0,43.0,169.0,212.0,94.0,57.0,22.0,94.0,95.0,643.0,54.0,33,2084.3939393939395,68785.0,2012,Rudy Gay,SF,TOR,26.0,203.2,104.32616,2006,1,8,200752
1610612752,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.5,1.5,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2,781.5,1563.0,2012,Solomon Jones,C,NYK,28.0,208.28,111.13004,2006,2,33,200780
1610612753,6.195121951219512,13.609756097560975,0.0,0.07317073170731707,2.975609756097561,3.975609756097561,1.6585365853658536,5.317073170731708,6.975609756097561,1.8780487804878048,0.926829268292683,0.6341463414634146,1.8048780487804879,2.4634146341463414,15.365853658536585,-0.7647058823529411,254.0,558.0,0.0,3.0,122.0,163.0,68.0,218.0,286.0,77.0,38.0,26.0,74.0,101.0,630.0,-26.0,41,1561.9268292682927,64039.0,2012,Glen Davis,PF,ORL,27.0,205.74,131.088088,2007,2,35,201175
1610612764,5.419354838709677,11.14516129032258,0.8548387096774194,2.370967741935484,2.1129032258064515,2.725806451612903,0.8548387096774194,4.532258064516129,5.387096774193548,1.3709677419354838,0.7096774193548387,0.12903225806451613,1.1935483870967742,2.2096774193548385,13.806451612903226,-1.9838709677419355,336.0,691.0,53.0,147.0,131.0,169.0,53.0,281.0,334.0,85.0,44.0,8.0,74.0,137.0,856.0,-123.0,62,1862.1935483870968,115456.0,2020,Rui Hachimura,F,WAS,23.0,203.2,104.32616,2019,1,9,1629060
