TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612744,2019-09-29,Golden State,82,57,25,0.695,30-11,27-14,""
1610612743,2019-09-29,Denver,82,54,28,0.659,34-7,20-21,""
1610612745,2019-09-29,Houston,82,53,29,0.6459999999999999,31-10,22-19,""
1610612757,2019-09-29,Portland,82,53,29,0.6459999999999999,32-9,21-20,""
1610612762,2019-09-29,Utah,82,50,32,0.61,29-12,21-20,""
1610612760,2019-09-29,Oklahoma City,82,49,33,0.598,27-14,22-19,""
1610612746,2019-09-29,LA Clippers,82,48,34,0.585,26-15,22-19,""
1610612759,2019-09-29,San Antonio,82,48,34,0.585,32-9,16-25,""
1610612758,2019-09-29,Sacramento,82,39,43,0.476,24-17,15-26,""
1610612747,2019-09-29,L.A. Lakers,82,37,45,0.451,22-19,15-26,""
1610612750,2019-09-29,Minnesota,82,36,46,0.439,25-16,11-30,""
1610612742,2019-09-29,Dallas,82,33,49,0.402,24-17,9-32,""
1610612763,2019-09-29,Memphis,82,33,49,0.402,21-20,12-29,""
1610612740,2019-09-29,New Orleans,82,33,49,0.402,19-22,14-27,""
1610612756,2019-09-29,Phoenix,82,19,63,0.232,12-29,7-34,""
